article,label,source_type,prompt_type,positive_score,negative_score,neutral_score,vader_compound,finbert_sentiment,flesch_score,gunning_fog,word_count,sentence_count,avg_sentence_length,capital_ratio,punctuation_count
"McDonald's is bringing back its Fried Apple Pie for a limited time starting June 22. The dessert was removed from U.S. menus in 1992 and has been a frequent subject of customer requests. The move is part of a nostalgia focused marketing push aimed at boosting engagement and store visits. For investors watching McDonald's, the return of the Fried Apple Pie adds a consumer focused angle to a stock that last closed at $287.93 on the NYSE:MCD ticker. Over the past 5 years, the stock is up...",0,real,original,0.112,0.02,0.868,0.8271,positive,71.69586206896552,9.109359605911331,87.0,9.0,9.666666666666666,0.04878048780487805,16.0
"We recently published Jim Cramer Discussed Expensive Phones, A Cheap Stock Sector & These 18 Stocks. Microsoft Corporation (NASDAQ:MSFT) is one of the stocks discussed by Jim Cramer. Software giant Microsoft Corporation (NASDAQ:MSFT)’s shares have been among the weakest this year. Over the year, they are down by 20% while year-to-date they are down by […]",0,real,original,0.037,0.055,0.908,-0.2732,negative,61.53250000000003,11.325925925925928,56.0,4.0,14.0,0.11204481792717087,17.0
"(Bloomberg) -- For the first time in four years, companies in emerging markets are beating profit estimates, giving investors a fresh reason to believe the bull market is just getting started.Most Read from BloombergIran Says Hormuz Closed Again as Talks With US Set to OpenUS and Iran Make ‘Progress’ in Talks, Aim to Keep Hormuz OpenIranian Negotiators Said to Still Be Engaged in Talks With USDOJ Rejects Judge Request to Certify $1.8 Billion Fund NixedThe ‘Mass Affluent’ Are Losing Their Allure",0,real,original,0.111,0.095,0.795,0.128,positive,48.63833333333335,15.66666666666667,81.0,3.0,27.0,0.1062124248496994,10.0
"Goldman Sachs now sees a smaller chance of a recession in the U.S. thanks to the peace agreement with Iran.  The bank cut its 12-month recession odds to 15% from 25%, citing falling energy prices.  It now sees an even lower chance of recession than it did before the war, when it put the odds at 20%.",0,real,original,0.202,0.234,0.565,-0.3612,negative,78.08703947368423,9.208771929824563,57.0,6.0,9.5,0.023333333333333334,11.0
"Stock futures were tumbling on Tuesday as investors continued to ditch technology stocks, which took a battering the previous session after a Nobel Prize-winning scientist left Google parent Alphabet for artificial intelligence start-up Anthropic.  Nasdaq 100 futures plunged 2.6%.  Dow Jones Industrial Average futures fell 350 points, or 0.7%.",0,real,original,0.061,0.0,0.939,0.4767,negative,34.868911564625876,17.145578231292518,49.0,6.0,8.166666666666666,0.034782608695652174,11.0
"Adobe Inc. (NASDAQ:ADBE) is one of the best AI software stocks to buy according to hedge funds. Citi cut the price target on Adobe Inc. (NASDAQ:ADBE) to $228 from $264 on June 12 and reaffirmed a Neutral rating on the shares, telling investors in a research note that the company reported “relatively solid” fiscal Q2 […]",0,real,original,0.104,0.034,0.862,0.6486,negative,60.55757575757579,12.424242424242424,56.0,4.0,14.0,0.09345794392523364,14.0
"PayPal Holdings Inc. is closing down PayPal Ventures, its decade-old corporate investing group. The unit’s staffing has dwindled to just two people, down from more than 10 late last year. PayPal has also been weighing secondary-market sales of some venture stakes and brought in Jefferies to advise on possible deals, according to Fortune. ""As part of our continued efforts to sharpen our focus, we are exploring strategic options for our corporate venture capital arm, PayPal Ventures,” a PayPal spo",0,real,original,0.0,0.0,1.0,0.0,negative,53.72458227848102,10.370632911392406,79.0,5.0,15.8,0.036,13.0
"(Bloomberg) -- China narrowed its cumulative fiscal deficit for the first time in more than two years, pressing ahead with austerity despite muted domestic demand and slowing economic growth.Most Read from BloombergSpaceX Falls for Third Day, Erases $600 Billion in Market ValueOracle Cut 21,000 Jobs in 12 Months, Says AI Replaced Some RolesKorean Stocks Tumble 10% as Extreme Volatility Rattles InvestorsStocks Fall as SpaceX’s Rout Offsets US-Iran Hopes: Markets WrapMeta Invests $900 Million in C",0,real,original,0.052,0.06,0.888,-0.1606,negative,26.374594594594612,20.205405405405408,75.0,2.0,37.5,0.094,14.0
"Oracle (NYSE:ORCL) plans to reduce its workforce by about 13%, or roughly 21,000 employees, in fiscal 2026 as part of a broad restructuring. The company reported its largest-ever quarterly results alongside an AI focused expansion and a contracted backlog that now exceeds its market value. Oracle is preparing to raise up to $50b in new capital to fund AI infrastructure, with more than half of its backlog estimated to be tied to OpenAI related commitments. Oracle enters this restructuring...",0,real,original,0.079,0.0,0.921,0.6705,negative,40.07735759493676,16.507594936708863,79.0,5.0,15.8,0.03838383838383838,16.0
"We recently published Jim Cramer Discussed Expensive Phones, A Cheap Stock Sector & These 18 Stocks. Alphabet Inc. (NASDAQ:GOOG) is one of the stocks discussed by Jim Cramer. Technology giant Alphabet Inc. (NASDAQ:GOOG)’s shares are up by a strong 120% over the past year and by 16.8% year-to-date. As 2026 has settled in, Cramer has […]",0,real,original,0.092,0.0,0.908,0.6705,positive,70.5396666666667,9.505185185185187,56.0,7.0,8.0,0.12166172106824925,21.0
